Business Name,Phone,Address,Industry,Why They Need Us,Call Script Hook,Status,Call Date,Notes
Smith Construction LLC,704-555-1234,"1234 Trade St, Charlotte NC 28202",Contractor,New LLC - no signage yet. Has trucks that need branding.,"Hey this is [name] with Creative Studio — I saw you just registered your business, congrats! We help new companies in Charlotte get noticed with vehicle wraps and job site signs. Do you have your trucks branded yet?",Not Called,,
Queen City Plumbing,704-555-5678,"890 Park Rd, Charlotte NC 28209",Contractor,Established company — trucks have faded lettering. Time for a refresh.,"Hi I'm calling from Creative Studio — we do vehicle graphics for service companies around Charlotte. I noticed your vans around [area] and wanted to see if you'd be open to a free quote on updated lettering?",Not Called,,
Jade Garden Restaurant,704-555-3456,"2100 South Blvd, Charlotte NC 28203",Restaurant,New location opening — needs exterior sign + menu boards.,"Hey I'm [name] with Creative Studio — we make channel letter signs and menu boards for restaurants in Charlotte. Are you handling the signage for your new location yet?",Not Called,,
Torres Landscaping,704-555-7890,"3450 Wilkinson Blvd, Charlotte NC 28208",Landscaping,4 trucks with no branding. Yard signs would help too.,"Hi this is [name] from Creative Studio — we brand landscaping trucks and make yard signs so your work advertises itself. Do you have your trucks lettered yet?",Not Called,,
CLT Fitness Studio,704-555-2345,"567 Central Ave, Charlotte NC 28204",Retail/Gym,Storefront needs window graphics + A-frame for foot traffic.,"Hey I'm [name] with Creative Studio — we do window graphics and A-frames that bring foot traffic in. I drove by your spot on Central and had some ideas — you open to a quick chat?",Not Called,,
Apex Auto Repair,704-555-6789,"1800 N Graham St, Charlotte NC 28206",Auto,Shop sign is outdated. Could use directional signs too.,"Hi this is [name] from Creative Studio in Charlotte — we make shop signs and vehicle wraps for auto businesses. Wanted to see if you're thinking about updating your exterior signage?",Not Called,,
Brown & Associates Realty,704-555-4321,"400 S Tryon St, Charlotte NC 28202",Real Estate,Needs yard signs + vehicle magnets for agents.,"Hey I'm [name] with Creative Studio — we make custom yard signs and vehicle magnets for real estate teams around Charlotte. How are you handling signage for your listings?",Not Called,,
Carolina Dental Group,704-555-8765,"2200 Randolph Rd, Charlotte NC 28207",Medical,Building sign is generic. Channel letters would elevate brand.,"Hi I'm calling from Creative Studio — we specialize in illuminated channel letter signs for medical offices. I noticed your building on Randolph and wanted to see if you'd been thinking about upgrading your exterior sign?",Not Called,,
Pinnacle Roofing & Exteriors,704-555-1357,"900 Brookshire Fwy, Charlotte NC 28216",Contractor,Has wrapped trucks but wraps are peeling. Needs yard signs for job sites.,"Hey this is [name] from Creative Studio — we do truck wraps and job site signs for roofing companies. I noticed your guys on [street] and your wraps are starting to fade — we could get you looking fresh again. Want a quick quote?",Not Called,,
Fresh Bites Catering,704-555-2468,"3100 Freedom Dr, Charlotte NC 28208",Food/Catering,Catering van is plain white. Full wrap would be rolling billboard.,"Hi I'm [name] with Creative Studio — we turn catering vans into rolling billboards. Every time your van is parked at an event that's free advertising. You thought about wrapping it?",Not Called,,
Mecklenburg Moving Co,704-555-3690,"1500 Westinghouse Blvd, Charlotte NC 28273",Moving/Trucking,Box trucks need big bold lettering + phone number.,"Hey this is [name] from Creative Studio — we letter box trucks for moving companies. Big bold graphics with your number so people call you when they see you on the road. You got your trucks branded yet?",Not Called,,
Oak & Stone Barbershop,704-555-4812,"600 E 36th St, Charlotte NC 28205",Retail/Barber,Storefront window needs hours + branding. Sandwich board for walkups.,"Hi I'm calling from Creative Studio — we do window lettering and sidewalk signs for barbershops and salons around Charlotte. Helps get those walk-in customers. You need any signage out front?",Not Called,,
